D = 3;
n = [ 4 3 1 ];

N = 10;
d = [ 1 1 1 1 2 2 2 3 3 3 ];
m = [
    [ 1.00 0.80 0.55 0.40 0.10 0.60 0.20 0.35 0.55 0.75 ];
    [ 0.80 1.00 0.90 0.60 1.00 0.45 0.50 0.20 0.40 0.30 ];
    [ 0.55 0.90 1.00 0.70 0.95 0.75 0.15 0.85 0.80 0.80 ];
    [ 0.40 0.60 0.70 1.00 0.70 0.05 0.50 0.50 0.05 1.00 ];
    [ 0.10 1.00 0.95 0.70 1.00 0.35 0.70 0.75 0.35 0.55 ];
    [ 0.60 0.45 0.75 0.05 0.35 1.00 0.05 0.45 0.40 0.30 ];
    [ 0.20 0.50 0.15 0.50 0.70 0.05 1.00 0.30 0.15 1.00 ];
    [ 0.35 0.20 0.85 0.50 0.75 0.45 0.30 1.00 0.95 0.65 ];
    [ 0.55 0.40 0.80 0.05 0.35 0.40 0.15 0.95 1.00 0.10 ];
    [ 0.75 0.30 0.80 1.00 0.55 0.30 1.00 0.65 0.10 1.00 ];
];
