D = 3;
n = [ 4 3 3 ];

N = 13;
d = [ 1 1 1 1 1 2 2 2 2 3 3 3 3 ];
m = [
    [ 1.00 0.95 0.70 0.80 0.10 0.00 0.85 0.45 0.50 0.25 0.40 0.90 0.95 ];
    [ 0.95 1.00 0.50 0.55 0.55 0.70 0.70 0.95 0.85 0.10 0.25 0.10 0.05 ];
    [ 0.70 0.50 1.00 0.10 0.35 0.15 0.20 0.70 0.40 0.85 1.00 0.00 0.40 ];
    [ 0.80 0.55 0.10 1.00 0.35 0.10 0.95 0.55 0.40 0.05 0.30 0.15 0.05 ];
    [ 0.10 0.55 0.35 0.35 1.00 0.50 0.40 0.05 0.85 0.50 0.25 0.75 0.10 ];
    [ 0.00 0.70 0.15 0.10 0.50 1.00 0.80 0.55 0.45 0.65 0.30 0.60 0.70 ];
    [ 0.85 0.70 0.20 0.95 0.40 0.80 1.00 0.90 0.55 0.30 0.65 1.00 0.45 ];
    [ 0.45 0.95 0.70 0.55 0.05 0.55 0.90 1.00 0.15 0.50 0.95 0.00 0.60 ];
    [ 0.50 0.85 0.40 0.40 0.85 0.45 0.55 0.15 1.00 0.15 0.70 0.35 0.95 ];
    [ 0.25 0.10 0.85 0.05 0.50 0.65 0.30 0.50 0.15 1.00 0.85 0.45 0.90 ];
    [ 0.40 0.25 1.00 0.30 0.25 0.30 0.65 0.95 0.70 0.85 1.00 0.00 0.90 ];
    [ 0.90 0.10 0.00 0.15 0.75 0.60 1.00 0.00 0.35 0.45 0.00 1.00 0.95 ];
    [ 0.95 0.05 0.40 0.05 0.10 0.70 0.45 0.60 0.95 0.90 0.90 0.95 1.00 ];
];
