D = 2;
n = [ 2 3 ];

N = 10;
d = [ 1 1 1 2 2 2 2 2 2 2 ];
m = [
    [ 0.20 0.05 0.90 0.35 0.70 0.10 0.90 0.65 0.55 0.25 ]
    [ 0.05 0.70 0.00 1.00 0.90 0.70 0.15 0.80 0.65 0.30 ]
    [ 0.90 0.00 0.10 1.00 0.00 0.90 0.20 0.00 1.00 0.25 ]
    [ 0.35 1.00 1.00 0.60 0.50 0.95 0.70 0.40 0.70 0.65 ]
    [ 0.70 0.90 0.00 0.50 0.85 0.20 0.35 0.70 0.00 0.90 ]
    [ 0.10 0.70 0.90 0.95 0.20 0.05 0.90 0.30 0.10 0.95 ]
    [ 0.90 0.15 0.20 0.70 0.35 0.90 0.60 0.30 0.15 0.35 ]
    [ 0.65 0.80 0.00 0.40 0.70 0.30 0.30 0.20 0.25 0.50 ]
    [ 0.55 0.65 1.00 0.70 0.00 0.10 0.15 0.25 0.40 0.60 ]
    [ 0.25 0.30 0.25 0.65 0.90 0.95 0.35 0.50 0.60 0.65 ]
];

