D = 2;
n = [ 10 3 ];

N = 25;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 ];
m = [
    [ 0.15 0.00 1.00 0.65 0.70 0.45 0.70 0.35 1.00 0.80 1.00 0.45 0.75 0.25 0.70 0.95 0.55 0.70 0.90 0.40 0.00 0.90 0.00 1.00 0.35 ]
    [ 0.00 1.00 0.50 0.85 0.30 0.20 0.60 1.00 0.10 0.90 0.30 0.55 0.05 0.90 0.20 0.70 0.05 0.95 0.65 0.70 0.70 0.00 0.95 0.75 0.75 ]
    [ 1.00 0.50 0.30 0.25 0.50 0.60 0.15 0.85 0.45 0.65 0.20 0.40 0.45 0.35 0.95 0.90 0.75 0.00 1.00 0.35 1.00 0.55 0.05 0.90 0.50 ]
    [ 0.65 0.85 0.25 0.45 0.95 0.60 0.10 1.00 0.55 0.30 0.55 1.00 0.35 0.00 1.00 0.30 0.65 0.90 0.10 0.90 0.65 0.20 0.55 0.60 0.05 ]
    [ 0.70 0.30 0.50 0.95 0.20 0.75 0.40 0.70 0.60 0.55 0.10 0.90 0.85 0.65 0.00 0.90 0.90 0.50 0.50 1.00 0.00 0.90 0.90 0.35 0.85 ]
    [ 0.45 0.20 0.60 0.60 0.75 0.50 0.75 0.70 0.00 0.90 0.05 0.95 0.95 0.85 0.35 0.00 1.00 0.85 0.85 0.50 0.45 0.40 0.60 0.95 0.60 ]
    [ 0.70 0.60 0.15 0.10 0.40 0.75 0.70 0.05 0.90 0.55 0.20 0.50 0.30 0.30 0.95 0.10 0.90 0.60 0.80 0.25 0.90 0.45 0.65 0.20 0.80 ]
    [ 0.35 1.00 0.85 1.00 0.70 0.70 0.05 0.05 0.90 0.05 0.90 0.65 0.80 0.45 0.45 0.30 0.85 0.90 0.40 0.60 0.50 0.55 0.80 1.00 0.85 ]
    [ 1.00 0.10 0.45 0.55 0.60 0.00 0.90 0.90 0.15 0.10 0.90 0.85 0.65 0.65 0.40 0.10 0.90 0.30 0.25 0.70 0.75 0.60 0.25 0.70 0.45 ]
    [ 0.80 0.90 0.65 0.30 0.55 0.90 0.55 0.05 0.10 0.20 0.75 0.90 0.95 0.20 0.10 0.95 0.20 0.60 0.55 0.55 0.40 0.65 0.30 0.65 0.45 ]
    [ 1.00 0.30 0.20 0.55 0.10 0.05 0.20 0.90 0.90 0.75 0.65 0.55 0.70 0.00 0.90 0.50 0.05 1.00 0.25 0.95 0.75 0.60 0.40 0.50 0.50 ]
    [ 0.45 0.55 0.40 1.00 0.90 0.95 0.50 0.65 0.85 0.90 0.55 0.70 0.00 0.90 0.20 0.05 0.90 0.35 0.95 0.25 0.00 0.95 0.40 1.00 0.20 ]
    [ 0.75 0.05 0.45 0.35 0.85 0.95 0.30 0.80 0.65 0.95 0.70 0.00 0.35 0.70 0.75 0.20 0.80 0.85 0.75 0.50 0.15 0.50 0.75 0.00 1.00 ]
    [ 0.25 0.90 0.35 0.00 0.65 0.85 0.30 0.45 0.65 0.20 0.00 0.90 0.70 0.50 0.35 0.05 0.95 0.40 0.85 0.25 0.40 0.95 0.30 0.65 0.45 ]
    [ 0.70 0.20 0.95 1.00 0.00 0.35 0.95 0.45 0.40 0.10 0.90 0.20 0.75 0.35 0.40 0.25 0.45 0.45 0.70 0.25 0.10 0.90 0.10 0.90 0.25 ]
    [ 0.95 0.70 0.90 0.30 0.90 0.00 0.10 0.30 0.10 0.95 0.50 0.05 0.20 0.05 0.25 0.30 0.85 0.35 0.55 0.80 0.65 0.35 0.05 0.90 0.05 ]
    [ 0.55 0.05 0.75 0.65 0.90 1.00 0.90 0.85 0.90 0.20 0.05 0.90 0.80 0.95 0.45 0.85 0.45 0.35 0.25 0.50 1.00 0.65 0.65 0.80 0.95 ]
    [ 0.70 0.95 0.00 0.90 0.50 0.85 0.60 0.90 0.30 0.60 1.00 0.35 0.85 0.40 0.45 0.35 0.35 1.00 0.85 0.10 1.00 0.80 0.65 1.00 0.25 ]
    [ 0.90 0.65 1.00 0.10 0.50 0.85 0.80 0.40 0.25 0.55 0.25 0.95 0.75 0.85 0.70 0.55 0.25 0.85 0.80 0.85 0.15 1.00 0.10 1.00 0.30 ]
    [ 0.40 0.70 0.35 0.90 1.00 0.50 0.25 0.60 0.70 0.55 0.95 0.25 0.50 0.25 0.25 0.80 0.50 0.10 0.85 0.95 0.20 0.10 1.00 0.45 1.00 ]
    [ 0.00 0.70 1.00 0.65 0.00 0.45 0.90 0.50 0.75 0.40 0.75 0.00 0.15 0.40 0.10 0.65 1.00 1.00 0.15 0.20 0.00 0.90 0.65 0.05 0.95 ]
    [ 0.90 0.00 0.55 0.20 0.90 0.40 0.45 0.55 0.60 0.65 0.60 0.95 0.50 0.95 0.90 0.35 0.65 0.80 1.00 0.10 0.90 0.50 0.50 0.85 0.75 ]
    [ 0.00 0.95 0.05 0.55 0.90 0.60 0.65 0.80 0.25 0.30 0.40 0.40 0.75 0.30 0.10 0.05 0.65 0.65 0.10 1.00 0.65 0.50 0.25 0.80 0.05 ]
    [ 1.00 0.75 0.90 0.60 0.35 0.95 0.20 1.00 0.70 0.65 0.50 1.00 0.00 0.65 0.90 0.90 0.80 1.00 1.00 0.45 0.05 0.85 0.80 0.65 0.65 ]
    [ 0.35 0.75 0.50 0.05 0.85 0.60 0.80 0.85 0.45 0.45 0.50 0.20 1.00 0.45 0.25 0.05 0.95 0.25 0.30 1.00 0.95 0.75 0.05 0.65 0.50 ]
];

