D = 3;
n = [ 1 1 3 ];

N = 10;
d = [ 1 2 2 3 3 3 3 3 3 3 ];
m = [
    [ 1.00 0.70 0.20 0.65 0.65 0.50 0.15 0.75 0.45 0.40 ]
    [ 0.70 1.00 0.50 0.80 0.75 0.40 0.00 0.30 0.35 0.95 ]
    [ 0.20 0.50 1.00 0.05 0.10 0.10 0.70 0.05 0.15 0.05 ]
    [ 0.65 0.80 0.05 1.00 0.35 0.25 0.70 0.45 0.20 0.35 ]
    [ 0.65 0.75 0.10 0.35 1.00 0.55 0.50 0.65 0.55 0.25 ]
    [ 0.50 0.40 0.10 0.25 0.55 1.00 0.55 0.55 0.15 0.40 ]
    [ 0.15 0.00 0.70 0.70 0.50 0.55 1.00 0.65 0.15 0.75 ]
    [ 0.75 0.30 0.05 0.45 0.65 0.55 0.65 1.00 0.75 0.45 ]
    [ 0.45 0.35 0.15 0.20 0.55 0.15 0.15 0.75 1.00 0.35 ]
    [ 0.40 0.95 0.05 0.35 0.25 0.40 0.75 0.45 0.35 1.00 ]
];
solution = [ 0 1 3 4 9 ];

